Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
Argentina,2001,105.28,144.98,Medium,67.09,43.97,17.48,693.84,4.3
Russia,2008,593.32,244.62,Medium,58.97,19.41,27.28,2732.12,0.41
Mexico,2023,630.2,238.37,High,54.89,29.65,26.33,1683.8,4.51
Italy,2002,542.7,69.93,Medium,74.08,32.3,36.22,1900.46,1.1
Argentina,2023,665.56,315.08,Low,21.28,26.26,30.28,1421.72,0.15
Mexico,2024,125.02,297.36,Medium,29.3,46.0,22.66,969.34,0.61
UK,2014,559.47,85.15,Medium,57.46,38.29,29.5,822.48,4.43
South Korea,2002,294.34,474.42,Low,23.95,35.26,32.5,1808.74,0.46
UK,2018,940.77,94.72,High,58.7,28.4,38.12,1465.83,1.84
Turkey,2017,764.45,434.68,Medium,79.05,8.82,31.13,1268.8,1.33
Germany,2007,972.79,50.14,High,72.73,9.85,26.32,2113.72,0.28
UK,2016,47.18,447.03,Low,55.46,18.46,21.19,1272.05,2.7
China,2007,292.28,58.87,Medium,73.64,14.52,36.74,206.52,4.99
Japan,2006,203.47,391.02,High,26.98,47.86,33.78,2535.04,4.28
Indonesia,2006,21.04,212.76,High,47.28,23.44,12.32,1023.37,0.93
Indonesia,2002,249.9,382.2,Low,45.72,44.45,30.99,2844.57,4.43
France,2000,681.99,230.79,Medium,40.19,41.81,26.16,2650.72,2.31
USA,2003,238.78,81.91,High,20.01,41.57,13.11,778.36,1.44
Turkey,2024,513.91,395.38,High,73.46,14.71,26.95,2899.87,3.24
Italy,2004,888.94,82.06,High,66.66,25.13,15.78,2575.33,1.16
Italy,2000,696.82,464.95,High,59.17,19.31,31.24,2956.55,4.41
France,2014,400.68,72.94,High,27.74,48.67,18.35,2066.05,3.16
Japan,2004,378.74,265.7,High,42.69,44.45,14.51,2799.11,0.77
Russia,2012,461.18,375.37,High,75.46,16.25,12.46,2101.27,2.9
China,2007,185.27,226.96,High,57.02,19.11,24.72,2579.77,2.6
France,2007,637.66,147.76,High,56.2,28.8,15.99,1870.24,2.41
Australia,2004,370.51,391.59,High,74.79,17.54,35.65,2794.61,1.89
India,2008,853.84,402.93,Medium,53.59,42.1,10.09,1602.45,2.42
Spain,2000,758.99,465.21,Low,55.86,41.87,35.31,2236.05,2.97
Australia,2003,614.41,219.27,Low,40.74,37.6,25.63,2759.19,3.69
Turkey,2002,370.56,277.81,Low,42.29,36.02,37.66,1324.93,4.6
Mexico,2001,217.83,213.41,High,61.14,29.63,16.14,176.57,0.32
Turkey,2007,778.39,165.69,Low,39.23,20.62,13.07,427.84,2.89
Japan,2022,491.55,387.96,High,53.55,42.66,28.75,2918.54,3.78
Australia,2008,232.5,202.84,Medium,36.75,43.65,31.2,2632.29,0.67
South Africa,2001,203.22,242.67,Low,29.97,7.23,21.18,1501.91,4.57
Japan,2013,173.75,231.65,Medium,47.26,22.94,10.41,2886.61,1.3
Brazil,2013,779.39,370.7,Medium,33.05,6.2,22.21,638.26,4.18
Brazil,2003,236.7,463.01,High,73.91,42.78,17.01,421.8,3.34
Germany,2005,531.38,350.04,Low,38.22,12.97,20.42,1844.18,2.84
USA,2010,457.03,262.21,Medium,55.84,35.32,25.2,1208.15,4.36
Argentina,2002,583.81,400.64,Low,35.81,21.08,31.07,1085.33,4.85
China,2007,878.38,338.44,Medium,35.48,41.72,38.9,2229.04,4.99
Japan,2002,869.07,77.27,Medium,41.04,27.94,14.32,535.04,3.45
Russia,2013,456.57,93.05,High,74.95,19.6,30.4,2357.5,1.76
Indonesia,2012,25.21,67.06,Low,43.49,19.57,17.0,1142.4,4.39
Germany,2012,432.18,255.57,High,69.28,19.71,16.62,2961.54,3.31
China,2001,610.13,421.63,High,31.84,40.49,29.01,2445.36,1.68
Russia,2012,562.19,190.89,High,22.89,37.0,33.28,1974.05,4.67
Japan,2018,654.82,222.87,High,66.9,19.36,39.33,765.39,3.76
Russia,2005,162.53,459.26,High,52.51,27.06,33.06,2873.64,2.32
Russia,2015,650.07,426.61,Medium,50.22,8.43,14.72,195.44,2.33
Mexico,2001,190.83,349.27,Low,36.33,42.24,16.76,747.71,4.98
Turkey,2007,753.02,170.06,Low,24.34,16.97,32.84,206.65,1.93
UK,2016,345.7,102.67,High,48.97,45.02,25.81,2902.9,0.56
Brazil,2022,712.8,57.23,Low,72.03,31.86,18.86,2627.2,2.74
Australia,2001,57.39,98.15,Medium,27.2,30.55,24.15,2861.11,4.44
Turkey,2009,413.78,181.67,High,75.75,12.32,37.45,2173.6,2.96
Italy,2015,707.98,298.31,Medium,36.48,8.13,32.67,179.53,3.99
Saudi Arabia,2005,234.6,78.8,Medium,51.93,29.87,23.52,2801.36,0.37
Russia,2001,797.33,111.3,High,23.99,26.06,39.42,1320.76,3.4
UK,2001,634.47,131.49,Medium,45.5,10.39,33.85,1167.78,0.49
Germany,2012,591.69,334.39,High,27.55,42.6,10.18,923.98,2.83
India,2023,360.01,327.11,Medium,22.88,23.78,13.37,931.71,2.54
Italy,2014,487.63,297.84,Low,77.99,16.72,26.62,2421.82,4.73
Indonesia,2001,601.38,162.73,Low,63.81,40.47,20.5,843.5,0.75
Australia,2006,477.74,217.0,Low,63.14,46.09,34.38,744.27,0.15
Spain,2002,701.33,93.51,High,25.43,18.77,36.87,2124.26,0.77
South Korea,2007,439.36,151.91,Medium,75.76,39.92,17.22,933.64,0.94
Saudi Arabia,2022,210.25,453.97,Medium,48.17,34.36,32.9,138.08,1.33
France,2013,221.79,490.86,Low,71.14,49.54,26.06,2802.12,4.09
Japan,2023,15.75,341.45,Low,20.76,14.18,21.76,1009.34,1.95
India,2022,307.95,462.57,High,37.89,48.23,33.6,2316.69,4.22
Russia,2021,751.43,339.23,High,79.76,19.19,26.95,1460.06,1.43
Russia,2006,796.22,64.94,Medium,45.67,23.54,29.06,488.83,4.32
Mexico,2020,210.44,498.54,High,73.31,21.15,11.87,2019.59,0.14
China,2006,959.45,94.53,High,39.68,17.08,27.58,771.52,4.68
Australia,2000,507.38,357.19,High,51.52,36.2,19.02,934.96,3.76
South Korea,2016,917.81,163.78,Low,71.25,31.51,24.8,193.98,2.12
Canada,2008,709.7,226.39,Low,56.35,18.76,16.66,147.57,2.93
Saudi Arabia,2020,725.21,340.67,Medium,63.51,10.95,28.43,1589.5,4.67
South Korea,2012,94.19,246.42,High,33.73,19.28,14.42,267.61,2.95
Turkey,2020,227.79,162.75,Low,29.35,22.16,13.69,707.31,1.22
Canada,2018,18.73,200.5,High,33.82,22.13,15.65,2779.04,2.91
Saudi Arabia,2020,718.97,203.7,Medium,49.58,21.08,34.52,340.28,4.37
South Africa,2018,350.99,481.7,High,68.06,7.19,11.01,943.29,4.94
Australia,2024,788.79,409.38,Medium,41.24,25.88,31.89,2206.93,2.96
Spain,2024,345.55,256.35,Medium,53.89,42.63,11.7,2664.54,0.86
Mexico,2021,821.14,139.92,Low,68.29,13.12,27.76,234.01,3.88
Italy,2016,139.39,414.96,High,34.33,11.55,33.21,637.77,4.98
South Korea,2022,181.64,120.73,Low,72.98,26.23,16.93,1224.86,2.42
Russia,2022,347.47,144.71,High,77.18,21.68,15.88,1146.88,1.98
Indonesia,2009,414.4,214.71,High,22.34,30.26,18.68,936.72,2.81
Saudi Arabia,2009,355.22,446.16,Medium,23.55,47.62,30.99,802.69,0.91
Japan,2003,766.01,109.3,Medium,25.46,39.24,17.64,879.11,4.86
Australia,2007,105.98,105.01,High,66.61,35.92,25.05,486.93,4.21
Brazil,2021,357.7,272.29,Low,31.36,23.72,14.03,573.65,0.65
South Korea,2019,838.87,174.38,Medium,63.54,17.93,23.84,1859.62,4.73
South Korea,2019,76.13,305.93,Medium,46.48,29.31,28.74,947.35,4.72
Indonesia,2017,942.92,253.24,High,70.18,44.84,12.15,1259.09,1.65
Mexico,2013,986.45,245.73,High,68.51,44.45,34.46,1294.7,3.13
USA,2017,97.68,100.39,Medium,77.58,25.05,38.12,418.24,0.64
Saudi Arabia,2013,298.36,113.47,Low,35.06,16.08,15.81,2476.53,0.51
Australia,2019,378.68,419.49,Medium,33.75,15.14,32.78,2873.44,2.56
South Korea,2020,778.63,448.65,High,21.89,6.53,19.4,864.27,0.34
India,2023,599.97,155.61,Medium,44.62,42.92,30.3,953.79,4.39
Germany,2014,647.92,101.06,High,47.54,16.92,19.2,2110.15,4.65
Canada,2021,759.93,74.04,Medium,77.87,21.15,35.87,333.71,0.43
Turkey,2003,126.8,323.73,High,69.85,41.41,20.41,2731.24,0.33
France,2012,834.88,371.91,High,30.01,10.4,35.46,449.71,1.18
Saudi Arabia,2022,708.56,217.76,Low,67.91,25.76,32.98,2222.98,4.66
China,2007,581.57,355.85,High,30.7,10.51,15.89,945.39,3.87
Italy,2017,890.84,370.83,Medium,24.67,24.88,14.71,1037.47,3.41
UK,2011,703.3,470.9,High,70.22,7.12,33.39,508.45,3.9
France,2022,209.68,79.19,Medium,78.56,28.29,21.71,1974.38,1.08
Japan,2013,435.45,136.53,Low,25.29,40.81,38.48,2405.48,1.36
Italy,2001,499.1,80.84,Medium,68.84,35.43,38.29,2855.7,1.66
China,2017,64.67,440.6,Low,71.55,27.91,30.8,1061.49,3.06
Canada,2023,955.09,406.66,Low,27.13,42.29,25.02,1901.42,3.08
Indonesia,2001,137.29,308.59,High,37.0,15.25,15.85,1303.48,1.12
China,2010,700.49,87.65,Low,64.02,42.39,36.47,1717.75,2.24
USA,2008,511.17,172.99,Medium,68.46,17.44,12.46,572.5,3.48
Australia,2011,35.38,183.97,Low,41.24,21.31,21.11,1787.08,1.62
China,2016,925.5,302.33,Low,29.6,10.78,19.58,2562.34,0.47
Italy,2014,853.32,166.12,High,58.9,9.58,38.75,2604.59,1.07
Japan,2024,529.02,82.83,Medium,62.12,46.95,13.54,1501.83,0.91
Germany,2016,236.65,378.84,Low,50.22,13.55,36.7,783.66,3.2
USA,2017,130.41,184.59,High,28.7,20.0,23.69,2526.37,0.44
Indonesia,2021,369.76,253.57,High,70.67,28.81,11.42,2998.34,4.44
UK,2005,262.87,107.45,Medium,58.72,20.65,31.87,1193.76,0.51
Italy,2016,511.62,411.15,High,72.15,44.16,13.03,2780.67,3.03
Japan,2022,966.75,304.49,Low,75.98,45.53,17.11,2952.03,4.65
South Africa,2023,579.2,455.71,High,68.34,19.67,33.99,1247.28,0.41
South Korea,2017,891.03,272.96,Medium,77.52,9.14,14.64,2177.22,1.98
USA,2007,654.37,473.64,Medium,77.26,14.46,19.76,1785.17,1.71
France,2008,480.49,451.34,High,57.16,26.35,20.83,2194.36,1.79
Spain,2005,856.06,309.41,Low,63.69,17.98,27.66,547.04,3.04
USA,2004,476.65,470.25,High,61.96,25.41,33.7,1163.49,1.38
Japan,2011,869.94,195.39,Medium,57.27,39.14,16.92,282.11,0.23
Germany,2024,298.66,214.54,High,21.16,23.93,16.17,1878.33,4.82
Argentina,2010,137.52,70.47,High,41.35,13.86,16.66,2787.42,3.77
Japan,2024,856.76,315.14,Low,26.0,21.11,21.45,1724.82,0.76
Australia,2000,591.54,374.87,High,38.02,38.43,26.05,303.96,2.33
China,2010,890.2,398.08,Low,24.11,24.08,10.4,2798.09,0.41
Canada,2018,938.45,117.42,High,75.2,16.23,33.41,485.6,0.24
India,2008,63.09,249.87,High,47.08,24.23,37.8,2660.53,0.33
Turkey,2001,505.96,129.59,Low,31.36,25.47,35.31,2171.26,3.8
Russia,2011,381.21,347.96,Low,55.09,18.34,11.12,1945.47,2.28
Indonesia,2003,629.6,121.08,Medium,31.79,49.81,25.74,1801.86,4.24
Spain,2003,795.66,456.87,Low,68.27,39.54,34.42,480.33,1.6
Turkey,2017,287.78,153.79,High,38.36,36.16,20.32,1552.45,3.9
India,2014,561.23,181.13,Medium,38.89,43.47,36.91,670.41,0.48
Mexico,2018,711.64,432.91,Low,72.2,34.99,36.61,1758.17,3.21
China,2012,143.09,256.31,Low,53.55,40.59,14.25,1397.3,1.87
Mexico,2018,815.93,60.8,Medium,73.24,23.56,24.81,2071.06,1.46
France,2016,610.05,272.56,High,44.77,27.52,10.77,2949.24,4.09
Saudi Arabia,2005,950.04,88.04,High,40.64,7.11,18.46,1146.94,0.35
Japan,2015,346.13,493.41,Medium,50.37,17.63,34.36,1888.47,4.75
Russia,2023,117.06,314.65,High,23.69,21.56,39.25,2606.78,3.95
France,2011,511.44,165.44,Low,29.25,33.15,37.4,369.49,1.84
India,2018,94.95,303.67,High,33.17,25.89,11.28,2420.71,4.96
Argentina,2004,969.83,84.59,Low,69.0,32.35,37.8,794.33,1.09
Mexico,2016,48.3,409.95,High,64.03,37.1,34.68,1666.8,2.07
UK,2022,755.97,466.4,Low,31.6,6.92,36.03,2975.35,4.44
Japan,2000,529.85,443.5,Medium,36.6,16.62,37.44,2953.75,4.98
Germany,2024,374.93,203.79,Low,76.66,12.69,24.65,1015.81,1.27
Japan,2023,75.18,196.6,High,25.15,13.44,16.34,482.11,3.74
China,2022,625.95,65.79,Low,52.85,27.64,10.63,2820.74,1.6
Indonesia,2009,589.37,343.13,High,51.32,38.3,10.71,2691.24,3.86
Italy,2014,288.07,290.71,High,63.54,17.27,29.28,1886.49,0.71
Argentina,2022,911.12,256.71,Low,35.69,42.1,20.12,193.99,1.75
USA,2020,311.07,458.43,High,76.09,45.16,24.88,2278.71,0.47
Indonesia,2020,455.23,125.55,Medium,44.63,20.77,13.94,566.48,2.51
Mexico,2010,548.32,54.35,High,37.14,35.66,39.27,2834.76,3.54
Spain,2012,109.23,82.99,Medium,40.21,10.27,13.9,1361.87,1.96
Saudi Arabia,2004,932.84,150.52,Medium,40.92,38.48,23.34,1883.84,3.11
Canada,2000,380.79,64.98,High,31.94,12.43,23.3,915.13,2.89
USA,2023,89.97,276.28,Medium,75.68,35.93,10.26,1477.72,1.54
Argentina,2011,393.42,191.34,Medium,30.49,23.99,30.03,2288.44,2.49
South Africa,2010,604.2,131.22,Low,72.97,46.78,26.15,1526.85,0.44
Germany,2016,518.52,387.54,Medium,44.3,25.9,24.92,2556.87,2.35
Australia,2003,697.6,142.0,Medium,36.16,6.39,34.54,2167.78,2.35
UK,2014,64.93,359.42,Medium,31.91,26.63,17.23,324.34,0.24
South Korea,2024,291.7,207.17,Medium,50.26,40.8,35.83,1859.82,2.62
South Africa,2008,821.04,280.32,Medium,60.16,34.12,35.94,1876.54,3.71
USA,2020,89.09,470.24,High,73.89,48.48,34.81,1204.61,2.32
Spain,2019,856.93,66.81,Medium,59.15,42.95,20.24,1035.9,3.27
Indonesia,2018,100.98,275.12,High,49.02,28.69,14.88,282.37,2.71
Mexico,2018,836.11,434.49,High,22.01,14.29,24.26,1393.85,3.95
Japan,2011,367.18,314.59,High,74.93,5.17,17.8,1076.13,2.62
Australia,2004,616.09,174.59,Low,74.14,49.12,11.57,2858.08,1.72
Canada,2009,161.36,228.96,Low,42.72,47.22,18.38,2055.11,4.16
Argentina,2016,75.51,356.12,High,21.74,17.34,24.07,1434.18,0.43
Canada,2004,223.78,450.87,Low,64.0,33.72,13.38,2288.37,1.52
India,2021,136.58,68.48,Medium,67.5,37.82,38.33,2358.43,3.0
France,2015,319.28,82.19,High,52.55,31.01,29.68,1493.32,4.29
Italy,2006,519.24,196.27,High,44.17,42.93,14.09,319.7,0.45
Australia,2008,592.87,154.75,High,71.07,8.5,34.36,2363.6,0.57
Argentina,2002,791.97,169.22,Low,31.55,45.34,37.84,361.82,1.48
Argentina,2014,659.68,149.57,Low,46.37,22.64,17.88,2557.77,1.79
France,2015,612.67,138.12,Low,21.47,26.63,14.3,1069.05,4.23
Brazil,2017,417.66,108.78,Medium,29.84,25.01,19.67,1950.9,4.8
Russia,2013,479.07,470.28,Low,76.45,28.91,34.97,2247.17,0.18
Mexico,2002,420.38,114.89,High,54.68,31.92,15.25,202.06,0.18
Russia,2011,843.74,141.98,Low,68.34,36.97,33.38,1215.38,4.34
Japan,2008,237.7,160.82,Low,49.19,28.62,31.49,1852.01,0.76
USA,2006,15.66,469.86,Low,70.09,35.81,29.54,2559.62,1.76
Brazil,2008,654.81,390.07,Low,52.34,20.22,23.0,2181.53,1.45
Italy,2012,210.44,405.36,High,20.27,47.15,21.0,2698.81,1.48
India,2017,891.21,97.14,Low,73.98,7.9,12.56,339.9,1.71
South Africa,2004,860.46,426.34,High,28.91,29.55,20.72,308.28,1.75
Spain,2012,85.96,233.69,Low,47.03,8.93,28.06,2169.22,3.14
UK,2003,115.32,168.27,Medium,48.6,24.92,36.95,1255.73,3.18
France,2001,500.22,309.09,Medium,22.83,16.59,34.99,1496.73,2.66
Brazil,2015,613.13,419.98,High,23.18,47.16,10.97,1852.52,4.31
Spain,2008,282.16,400.39,High,65.75,5.59,14.17,2959.23,4.24
Saudi Arabia,2008,719.63,450.5,Medium,38.03,22.6,35.45,294.78,1.16
Russia,2005,598.97,467.66,Medium,44.58,40.19,38.18,415.8,2.76
France,2010,331.58,157.15,Low,53.85,13.48,11.67,2505.01,3.94
USA,2021,35.12,240.74,Medium,42.4,41.7,31.04,159.52,4.35
Russia,2023,752.65,56.58,High,66.5,43.69,20.97,1406.32,1.35
Italy,2021,222.61,445.69,High,73.07,36.86,20.93,2344.94,2.52
Russia,2000,836.13,119.56,Medium,23.58,14.41,29.28,666.28,2.67
Russia,2003,426.09,437.66,High,58.12,17.24,34.31,642.33,3.53
Australia,2012,581.31,198.22,Low,39.06,12.51,18.25,999.73,1.72
Saudi Arabia,2022,874.22,215.66,Low,55.0,13.28,31.16,535.03,1.54
Japan,2012,864.99,67.61,Medium,49.03,6.64,29.08,2067.8,3.56
Canada,2012,377.8,197.1,High,40.02,43.58,25.52,680.4,2.06
Canada,2001,216.8,449.76,Medium,25.69,28.78,28.07,757.89,0.12
China,2008,777.39,61.5,High,53.57,19.75,10.54,1767.31,4.7
South Africa,2023,438.75,232.85,High,26.77,18.03,10.12,2905.29,0.83
South Africa,2007,200.12,64.13,High,29.37,29.51,26.51,2750.26,0.83
Brazil,2006,905.38,216.92,Low,78.93,19.7,25.72,2607.04,4.11
Italy,2003,206.12,127.69,High,39.0,43.87,12.14,1639.68,1.74
Argentina,2017,35.55,163.5,Low,55.07,14.49,24.76,963.48,1.71
China,2002,30.08,444.92,High,36.33,44.7,32.73,2146.72,3.15
South Africa,2005,626.09,246.22,Medium,71.93,34.88,26.24,1229.77,0.39
Turkey,2011,665.06,173.21,Low,37.0,48.05,25.53,2355.94,1.26
Indonesia,2011,317.93,315.2,Low,42.01,5.68,31.54,146.96,0.36
Japan,2020,326.81,113.95,Low,56.5,7.66,15.16,1635.67,1.53
Indonesia,2007,346.1,166.73,Medium,72.2,27.54,23.72,1078.32,4.36
USA,2021,683.36,295.81,Low,68.97,46.06,14.44,822.24,4.56
Spain,2021,67.55,156.89,Medium,35.83,37.89,25.72,2019.33,1.62
Australia,2000,929.83,355.61,High,69.77,33.0,27.76,2009.28,1.02
Italy,2003,230.3,271.17,High,62.07,6.42,13.65,207.49,0.76
Germany,2020,999.68,397.4,Medium,79.39,20.94,12.27,2848.33,2.03
Canada,2010,179.81,476.71,Low,76.13,20.56,15.0,1149.37,4.15
Japan,2002,773.83,102.11,Low,51.99,29.39,27.59,2760.48,4.28
Saudi Arabia,2012,231.18,200.6,Medium,65.0,16.6,15.69,1792.79,0.33
Mexico,2024,90.04,193.8,High,54.21,17.02,18.26,1992.51,1.13
South Africa,2016,876.18,118.03,Medium,55.7,32.94,31.08,2885.5,1.1
South Africa,2021,860.16,414.64,Low,26.09,47.51,17.45,2484.37,4.16
Germany,2021,409.53,391.95,Low,20.13,34.71,21.93,506.1,2.34
Saudi Arabia,2009,705.37,267.99,Low,22.89,35.07,37.87,115.14,1.91
France,2020,561.5,292.0,Low,78.0,49.38,34.75,994.9,4.79
Germany,2011,854.43,76.79,High,27.58,11.91,17.66,1516.76,4.63
South Africa,2014,321.91,299.98,High,22.66,6.52,27.93,2223.23,2.26
France,2020,528.44,406.1,High,38.58,38.55,29.97,2017.04,0.73
South Korea,2009,490.52,308.22,Low,55.29,24.75,37.01,1007.28,0.94
India,2013,360.37,169.39,Low,76.91,24.3,26.42,1671.79,0.65
Indonesia,2012,892.54,350.4,Low,61.99,15.14,26.84,1987.71,3.43
Russia,2004,174.22,212.67,Medium,36.58,27.81,36.65,1589.88,2.82
Russia,2005,158.01,295.19,Low,76.34,24.9,11.63,2098.03,2.83
UK,2023,581.14,269.4,High,22.16,20.55,28.84,1507.13,0.58
India,2001,660.92,221.53,High,78.74,24.92,22.5,1636.09,3.99
South Africa,2021,202.67,373.5,High,23.52,22.27,37.29,2828.25,2.72
Russia,2016,396.81,447.74,Medium,65.23,47.3,38.82,1228.56,0.55
Germany,2003,947.1,52.35,High,22.72,49.11,15.11,2291.55,3.76
Turkey,2013,254.15,470.13,Medium,75.89,42.8,18.44,1070.56,4.91
Japan,2009,671.68,280.18,Medium,26.52,49.57,18.2,1062.38,2.26
Argentina,2002,742.75,365.33,Medium,23.03,16.96,13.02,2787.35,0.67
Spain,2024,453.65,435.03,Low,73.36,42.93,24.49,2126.15,0.6
USA,2002,938.15,260.2,Low,25.75,23.3,25.39,2793.98,0.23
Mexico,2014,739.29,425.74,High,67.88,38.58,27.19,2984.29,3.87
Argentina,2005,463.35,129.93,High,64.82,14.06,29.89,100.59,3.5
Australia,2016,573.64,121.63,Medium,55.93,41.54,11.89,2951.14,2.96
Italy,2011,695.69,345.86,Low,42.68,8.76,28.67,392.53,3.85
Saudi Arabia,2021,596.27,441.56,High,74.93,17.18,37.41,304.19,5.0
Mexico,2019,879.91,451.59,High,72.26,41.99,23.65,2326.65,2.07
Saudi Arabia,2023,363.32,339.68,Low,45.57,38.62,13.2,1115.54,3.56
Japan,2010,306.89,286.47,Medium,33.9,27.56,12.58,2761.65,1.95
Australia,2024,221.7,199.13,High,36.35,35.28,18.45,1679.07,1.83
Argentina,2003,47.41,491.0,High,33.22,13.35,32.58,1219.72,4.27
Turkey,2005,52.58,193.86,Low,52.48,35.05,17.83,312.97,2.92
Spain,2000,871.35,384.88,Low,72.11,5.36,34.43,1447.44,0.69
Saudi Arabia,2019,681.61,289.39,Medium,66.42,42.49,34.59,905.9,2.08
Argentina,2022,663.93,323.83,Medium,67.73,28.23,23.71,322.18,4.0
Saudi Arabia,2015,618.5,227.07,High,46.9,47.47,19.02,2044.13,4.71
South Korea,2014,850.73,484.17,Medium,39.35,26.52,27.93,2934.28,3.11
Japan,2016,485.46,307.26,High,65.44,24.49,34.32,1198.85,2.03
UK,2007,871.71,472.0,High,67.6,25.25,11.94,962.07,1.33
UK,2011,365.85,53.42,Low,61.72,21.19,38.6,360.88,2.17
Canada,2021,927.44,307.7,High,21.93,12.5,29.38,747.12,2.87
Brazil,2020,701.67,372.73,Low,55.38,42.89,21.94,926.42,0.12
Italy,2009,264.61,385.29,High,40.82,22.51,25.18,1098.11,1.42
Italy,2014,568.44,457.24,High,31.77,28.81,21.57,1938.5,3.39
Argentina,2008,537.7,51.98,High,61.66,5.89,22.38,433.13,3.4
Indonesia,2001,146.52,50.15,Medium,36.11,7.71,27.87,269.43,3.3
Canada,2004,595.33,262.52,Medium,74.77,31.87,11.81,2798.69,4.75
Russia,2005,321.64,63.18,Low,37.88,44.57,15.26,2417.65,2.89
Australia,2006,61.83,488.54,High,53.31,27.2,16.81,906.84,1.42
Saudi Arabia,2020,949.17,149.93,Low,69.67,12.42,22.23,1952.5,4.08
Italy,2024,645.08,262.7,Low,44.13,10.23,21.13,1818.23,2.01
Russia,2000,878.15,77.51,High,69.72,45.49,31.67,2254.73,1.27
Turkey,2022,679.3,284.92,Medium,63.42,36.57,17.78,2591.95,2.83
Indonesia,2006,363.41,220.98,Medium,75.25,48.48,11.71,1137.48,1.52
UK,2019,517.56,70.1,Low,39.55,8.71,11.66,2016.41,2.04
Italy,2024,678.99,200.81,Medium,26.3,45.62,10.34,2425.92,3.5
France,2011,960.65,226.15,High,45.82,43.05,11.14,2127.95,4.98
Spain,2015,261.13,495.46,High,67.15,45.19,35.76,2774.19,3.26
India,2015,876.23,143.55,Medium,47.03,5.26,30.92,1534.59,1.45
China,2010,924.84,295.15,Medium,35.72,38.39,39.88,2427.66,0.54
UK,2020,673.71,494.29,Low,21.66,29.7,10.61,2738.25,1.87
Germany,2003,931.95,406.41,Medium,38.78,30.79,35.47,1715.45,0.19
Turkey,2012,403.9,497.02,Low,62.8,26.11,30.88,150.15,2.38
Saudi Arabia,2006,953.49,485.73,High,28.86,38.42,29.21,2472.22,3.33
Japan,2003,705.76,270.29,High,40.45,49.99,20.7,2553.5,2.61
Spain,2014,51.59,363.37,High,21.21,36.97,21.3,1259.57,4.34
France,2018,907.8,99.7,Medium,63.31,35.51,35.37,764.33,2.52
Australia,2008,489.63,248.52,Medium,72.84,34.45,31.4,2936.63,2.37
Italy,2010,465.72,414.06,Medium,54.11,36.28,30.11,1699.71,1.62
UK,2007,570.8,277.4,Low,21.55,20.4,10.92,1596.92,4.2
Spain,2000,157.89,366.21,Low,33.06,19.41,15.53,2843.62,4.53
Germany,2022,474.47,385.59,Low,46.31,40.3,38.88,1283.48,4.89
Canada,2024,832.82,164.06,High,55.25,7.39,23.63,2559.59,4.91
Saudi Arabia,2023,25.33,444.06,Low,49.78,39.17,33.44,2131.89,4.9
Mexico,2007,280.19,256.92,Medium,74.95,41.62,21.68,2906.37,3.59
Japan,2012,12.43,144.58,Medium,76.32,28.47,32.93,1343.09,2.86
Spain,2021,421.55,439.44,High,26.43,45.96,13.58,2732.12,0.94
South Korea,2003,731.03,238.02,Medium,28.3,26.29,11.26,1749.75,3.86
Mexico,2007,800.78,387.64,Medium,41.48,13.01,23.99,1480.04,3.7
Russia,2002,945.74,296.61,Medium,45.27,21.26,27.75,986.42,4.23
Germany,2008,612.42,221.84,Low,55.16,45.76,19.71,1702.82,2.37
Turkey,2001,262.08,414.44,Low,66.39,49.72,31.48,1760.4,4.47
China,2001,924.91,313.01,Medium,28.15,23.98,24.87,2705.33,3.62
France,2012,777.56,225.75,Medium,68.16,12.51,37.85,2141.78,0.94
Japan,2014,578.68,99.32,Medium,56.6,17.88,12.55,2496.77,1.11
USA,2022,698.68,452.95,Medium,78.85,29.9,12.0,2330.48,4.09
Italy,2011,925.07,65.96,Low,59.07,30.74,37.15,902.28,2.19
China,2003,715.27,438.43,High,62.97,33.35,30.07,696.81,1.32
Turkey,2007,374.69,211.98,Medium,31.71,42.59,30.13,849.6,2.17
Russia,2008,715.9,337.7,Low,66.13,37.0,10.83,525.08,0.89
Argentina,2022,49.88,464.99,Medium,24.76,16.74,38.13,1219.29,4.47
Mexico,2004,392.55,118.27,High,59.39,22.78,33.15,1996.31,0.45
Russia,2023,412.26,305.13,Low,23.33,42.79,32.93,1657.23,1.83
India,2019,175.17,393.99,Low,26.91,33.5,37.36,2069.72,2.83
UK,2017,32.85,390.91,High,26.47,12.49,27.34,1132.69,4.38
Spain,2010,142.05,286.53,High,23.15,19.65,21.84,695.31,3.93
China,2014,658.08,331.13,Low,39.27,40.6,24.42,688.0,0.21
Argentina,2021,804.27,390.89,High,79.66,12.74,33.32,1842.5,4.14
Italy,2008,988.32,428.46,Medium,40.89,36.1,33.06,576.45,3.23
Italy,2016,352.9,392.82,High,65.65,30.36,28.29,1251.78,0.75
Argentina,2011,603.39,209.3,High,27.94,11.64,16.54,717.21,3.13
Australia,2006,937.77,498.53,Low,47.27,36.0,34.57,2022.01,4.11
India,2009,175.37,245.53,High,31.11,11.41,29.42,1884.72,3.05
Spain,2024,720.47,61.01,Low,31.53,22.93,16.64,1205.26,5.0
